avp,276,http://scranton.craigslist.org,Scranton / Wilkes-Barre,Pennsylvania,*US*
psu,277,http://pennstate.craigslist.org,State College,Pennsylvania,*US*
wpt,463,http://williamsport.craigslist.org,Williamsport,Pennsylvania,*US*
yrk,357,http://york.craigslist.org,York,Pennsylvania,*US*
prv,38,http://providence.craigslist.org,Rhode Island,Rhode Island,*US*
chs,128,http://charleston.craigslist.org,Charleston,South Carolina,*US*
cae,101,http://columbia.craigslist.org,Columbia,South Carolina,*US*
flo,464,http://florencesc.craigslist.org,Florence,South Carolina,*US*
gsp,253,http://greenville.craigslist.org,Greenville / Upstate,South Carolina,*US*
hhi,353,http://hiltonhead.craigslist.org,Hilton Head,South Carolina,*US*
myr,254,http://myrtlebeach.craigslist.org,Myrtle Beach,South Carolina,*US*
abr,682,http://nesd.craigslist.org,Northeast Sd,South Dakota,*US*
csd,681,http://csd.craigslist.org,Pierre / Central Sd,South Dakota,*US*
rap,680,http://rapidcity.craigslist.org,Rapid City / West Sd,South Dakota,*US*
fsd,679,http://siouxfalls.craigslist.org,Sioux Falls / Se Sd,South Dakota,*US*
sdk,195,http://sd.craigslist.org,South Dakota,South Dakota,*US*
cht,220,http://chattanooga.craigslist.org,Chattanooga,Tennessee,*US*
ckv,465,http://clarksville.craigslist.org,Clarksville,Tennessee,*US*
coo,670,http://cookeville.craigslist.org,Cookeville,Tennessee,*US*
jxt,558,http://jacksontn.craigslist.org,Jackson ,Tennessee,*US*
knx,202,http://knoxville.craigslist.org,Knoxville,Tennessee,*US*
mem,46,http://memphis.craigslist.org,Memphis,Tennessee,*US*
nsh,32,http://nashville.craigslist.org,Nashville,Tennessee,*US*
tri,323,http://tricities.craigslist.org,Tri-Cities,Tennessee,*US*
gum,245,http://micronesia.craigslist.org,Guam-Micronesia,Territories    ,*US*
pri,180,http://puertorico.craigslist.org,Puerto Rico,Territories    ,*US*
vrg,616,http://virgin.craigslist.org,U.S. Virgin Islands,Territories    ,*US*
abi,364,http://abilene.craigslist.org,Abilene,Texas,*US*
ama,269,http://amarillo.craigslist.org,Amarillo,Texas,*US*
aus,15,http://austin.craigslist.org,Austin,Texas,*US*
bpt,264,http://beaumont.craigslist.org,Beaumont / Port Arthur,Texas,*US*
bro,266,http://brownsville.craigslist.org,Brownsville,Texas,*US*
cst,326,http://collegestation.craigslist.org,College Station,Texas,*US*
crp,265,http://corpuschristi.craigslist.org,Corpus Christi,Texas,*US*
dal,21,http://dallas.craigslist.org,Dallas / Fort Worth,Texas,*US*
och,645,http://nacogdoches.craigslist.org,Deep East Texas,Texas,*US*
drt,647,http://delrio.craigslist.org,Del Rio / Eagle Pass,Texas,*US*
elp,132,http://elpaso.craigslist.org,El Paso,Texas,*US*
gls,470,http://galveston.craigslist.org,Galveston,Texas,*US*
hou,23,http://houston.craigslist.org,Houston,Texas,*US*
grk,327,http://killeen.craigslist.org,Killeen / Temple / Ft Hood,Texas,*US*
lrd,271,http://laredo.craigslist.org,Laredo,Texas,*US*
